,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,"övantar kvk
övantar KVK 2",,,,,,,,,"16:00-23:00
23:00-09:00","16:00-23:00
23:00-09:00","16:00-23:00
23:00-09:00",16:00-22:00,,
2,,,,,,,,,,,,,,,
